127.0.0.1 - - [26/Dec/2023:11:09:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:09:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:09:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:10:28 +0530] "-" 400 2228
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:10:28 +0530] "-" 400 2222
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:10:28 +0530] "-" 400 2226
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:10:28 +0530] "-" 400 2210
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:11:42 +0530] "GET /servlet-test/Form.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:11:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:11:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:11:52 +0530] "GET /servlet-test/index.jsp HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:11:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:12:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:12:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:07 +0530] "-" 400 2120
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:07 +0530] "-" 400 2216
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:07 +0530] "-" 400 2216
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:07 +0530] "-" 400 2184
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:07 +0530] "-" 400 2202
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:07 +0530] "-" 400 2232
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:07 +0530] "-" 400 2230
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:07 +0530] "-" 400 2190
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:12 +0530] "-" 400 2204
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:12 +0530] "-" 400 2212
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:12 +0530] "-" 400 2176
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:12 +0530] "-" 400 2192
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:12 +0530] "-" 400 2192
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:12 +0530] "-" 400 2192
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:15 +0530] "-" 400 2198
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:15 +0530] "-" 400 2204
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:15 +0530] "-" 400 2190
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:15 +0530] "-" 400 2196
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:15 +0530] "-" 400 2222
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:15 +0530] "-" 400 2192
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:16 +0530] "-" 400 2184
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:16 +0530] "-" 400 2222
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:17 +0530] "-" 400 2196
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:17 +0530] "-" 400 2198
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:17 +0530] "-" 400 2248
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:17 +0530] "-" 400 2228
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:28 +0530] "-" 400 2198
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:28 +0530] "-" 400 2216
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:28 +0530] "-" 400 2236
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:28 +0530] "-" 400 2136
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:28 +0530] "-" 400 2204
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:13:28 +0530] "-" 400 2238
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:14:09 +0530] "-" 400 2226
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:14:09 +0530] "-" 400 2210
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:14:09 +0530] "-" 400 2174
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:14:09 +0530] "-" 400 2222
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:14:09 +0530] "-" 400 2198
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:14:09 +0530] "-" 400 2208
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:14:09 +0530] "-" 400 2204
0:0:0:0:0:0:0:1 - - [26/Dec/2023:11:14:09 +0530] "-" 400 2236
